question,options,answer,category,difficulty
"I share my name with a fish but I'm spent not swum — I'm Japan's currency. What am I?",Yen;Won;Baht;Riel,a,GEN,5
"Every country has one but only one city wears France's crown. What is it?",Paris;Lyon;Marseille;Nice,a,GEN,5
"I'm the tallest living land animal — my neck alone can be six feet long. What am I?",Giraffe;Elephant;Camel;Moose,a,GEN,5
"He painted her smile but gave away no secrets — who was the artist behind the Mona Lisa?",Leonardo da Vinci;Michelangelo;Raphael;Caravaggio,a,GEN,5
"I cover more of Earth than all the land combined. I'm the largest ocean. Which one?",Pacific;Atlantic;Indian;Arctic,a,GEN,5
"H, then 2, then O — three letters that make the most essential liquid. What compound is this?",H2O;CO2;NaCl;H2S,a,GEN,5
"The Red Planet — dusty, cold, and named after a Roman god of war. Which planet?",Mars;Venus;Jupiter;Saturn,a,GEN,5
"On its maiden voyage it met an iceberg it couldn't survive. In what year did the Titanic sink?",1912;1908;1921;1916,a,GEN,10
"Au is my symbol on the periodic table — I'm prized, I'm shiny, I'm ancient currency. What element?",Gold;Silver;Copper;Platinum,a,GEN,10
"The longest river on Earth winds through eleven countries before reaching the Mediterranean. Which river?",Nile;Amazon;Yangtze;Congo,a,GEN,10
"The largest hot desert on Earth stretches across North Africa. What is its name?",Sahara;Gobi;Arabian;Patagonian,a,GEN,10
"Ag — two letters that represent a precious metal used in jewellery and old coins. What element?",Silver;Gold;Argon;Arsenic,a,GEN,15
"This capital sits on the Ottawa River and was chosen partly because neither Toronto nor Montreal could agree. Which city?",Ottawa;Toronto;Vancouver;Montreal,a,GEN,15
"In 1776, thirteen colonies put their grievances in writing. What year did the US declare independence?",1776;1783;1787;1770,a,GEN,15
"This nation's currency is the Real — it's the largest country in South America. What currency?",Real;Peso;Cruzeiro;Dollar,a,GEN,15
"Brazil;'s currency was once the cruzeiro — now it's something else. What is Brazil's current currency?",Real;Peso;Escudo;Bolivar,a,GEN,15
"Fe is its chemical symbol — it's what blood and skyscrapers have in common. Which element?",Iron;Fluorine;Francium;Fermium,a,GEN,25
"The Argentine capital — named after good air, though its founders may have been optimistic. What city?",Buenos Aires;Montevideo;Asuncion;Santiago,a,GEN,25
"This trench plunges nearly 11km beneath the Pacific Ocean — the deepest place on Earth. What is it called?",Mariana Trench;Puerto Rico Trench;Tonga Trench;Philippine Trench,a,GEN,25
"Cu on the table — it's in your wiring, your coins, and the Statue of Liberty's skin. What element?",Copper;Cobalt;Carbon;Chromium,a,GEN,25
"Egypt's capital shares its name with an ancient city and sits at the mouth of the Nile Delta. Which city?",Cairo;Alexandria;Luxor;Aswan,a,GEN,30
"In 1989 a wall fell and a Cold War effectively ended — which city hosted that famous wall?",Berlin;Moscow;Warsaw;Prague,a,GEN,30
"This African nation uses the Rand — its southernmost city is Cape Town. Which currency?",Rand;Shilling;Pula;Naira,a,GEN,30
"Russia's currency shares its name with the Russian word for 'cut' — coins were once cut from silver rods. What's the currency?",Ruble;Kopek;Grivna;Tenge,a,GEN,45
"In 1994 he walked out of prison and into the presidency. Who was South Africa's first Black president?",Nelson Mandela;Desmond Tutu;Thabo Mbeki;Oliver Tambo,a,GEN,45
"The world's largest mammal is a creature of the ocean — its heart alone weighs as much as a car. What is it?",Blue Whale;Sperm Whale;Elephant;Giant Squid,a,GEN,45
"Africa's highest peak is a dormant stratovolcano in Tanzania. What is its name?",Mount Kilimanjaro;Mount Kenya;Ras Dashen;Mount Meru,a,GEN,50
"U is its symbol — it's radioactive, heavy, and the fuel of nuclear reactors. Which element?",Uranium;Unnilium;Unified;Unobtanium,a,GEN,50
"Turkey has two names for its capital — foreigners call it Ankara but it replaced which Ottoman city as capital in 1923?",Istanbul;Izmir;Bursa;Konya,a,GEN,60
"India's currency is named for a Sanskrit word meaning 'silver'. What is it?",Rupee;Taka;Paisa;Anna,a,GEN,60
"The year the French stormed a prison and changed history — when did the Revolution begin?",1789;1776;1793;1799,a,GEN,75
"This landlocked country in Central Asia uses the Tenge — its largest city is Almaty. Which country's currency is the Tenge?",Kazakhstan;Uzbekistan;Kyrgyzstan;Tajikistan,a,GEN,75
"Which element has the highest melting point of all metals, making it essential in lightbulb filaments?",Tungsten;Platinum;Osmium;Iridium,a,GEN,80
"The Moors ruled much of the Iberian Peninsula for centuries — what is the Arabic-origin name for their region of Spain?",Al-Andalus;Castile;Aragon;Catalonia,a,GEN,90
"Which ancient wonder of the world stood at the entrance of Rhodes harbour?",Colossus of Rhodes;Lighthouse of Alexandria;Temple of Artemis;Statue of Zeus,a,GEN,90
"What is the only country that borders both the Caspian Sea and the Persian Gulf?",Iran;Iraq;Azerbaijan;Kazakhstan,a,GEN,99
"Which is the only letter that does not appear in any US state name?",Q;Z;X;J,a,GEN,99
"I keep time when a referee blows their whistle — how many players does each football team start with?",11;10;12;9,a,SPO,5
"She won 23 Grand Slam singles titles — more than any other player in the Open Era. Which Williams sister?",Serena;Venus;Both equally;Neither,a,SPO,5
